,Refdate,Ticker,Z_SPRD_MID,AMT_OUTSTANDING,Base
16752,2020-01-13,AO348832 Corp,-997.567,1000000000,-996567000000.0
16753,2020-01-14,AO348832 Corp,-995.634,1000000000,-994634000000.0
16754,2020-01-15,AO348832 Corp,-996.375,1000000000,-995375000000.0
16755,2020-01-16,AO348832 Corp,-1470.132,1000000000,-1469132000000.0
16756,2020-01-17,AO348832 Corp,-1920.958,1000000000,-1919958000000.0
16757,2020-01-20,AO348832 Corp,-994.477,1000000000,-993477000000.0
16758,2020-01-21,AO348832 Corp,-994.158,1000000000,-993158000000.0
16759,2020-01-22,AO348832 Corp,-1192.759,1000000000,-1191759000000.0
16760,2020-01-23,AO348832 Corp,-1926.991,1000000000,-1925991000000.0
16761,2020-01-24,AO348832 Corp,-1926.269,1000000000,-1925269000000.0
16762,2020-01-27,AO348832 Corp,-1195.822,1000000000,-1194822000000.0
16763,2020-01-28,AO348832 Corp,-1198.222,1000000000,-1197222000000.0
16764,2020-01-29,AO348832 Corp,-1200.111,1000000000,-1199111000000.0
16765,2020-01-30,AO348832 Corp,-1926.854,1000000000,-1925854000000.0
16766,2020-01-31,AO348832 Corp,-1919.241,1000000000,-1918241000000.0
16767,2020-02-03,AO348832 Corp,-1191.644,1000000000,-1190644000000.0
16768,2020-02-04,AO348832 Corp,-1198.656,1000000000,-1197656000000.0
16769,2020-02-05,AO348832 Corp,-1195.612,1000000000,-1194612000000.0
16770,2020-02-06,AO348832 Corp,-1909.066,1000000000,-1908066000000.0
16771,2020-02-07,AO348832 Corp,-1907.156,1000000000,-1906156000000.0
16772,2020-02-10,AO348832 Corp,-1187.336,1000000000,-1186336000000.0
16773,2020-02-11,AO348832 Corp,-993.159,1000000000,-992159000000.0
16774,2020-02-12,AO348832 Corp,-1185.302,1000000000,-1184302000000.0
16775,2020-02-13,AO348832 Corp,-1907.849,1000000000,-1906849000000.0
16776,2020-02-14,AO348832 Corp,-1895.571,1000000000,-1894571000000.0
16777,2020-02-17,AO348832 Corp,-1178.842,1000000000,-1177842000000.0
16778,2020-02-18,AO348832 Corp,-1181.291,1000000000,-1180291000000.0
16779,2020-02-19,AO348832 Corp,-1181.903,1000000000,-1180903000000.0
16780,2020-02-20,AO348832 Corp,-1439.891,1000000000,-1438891000000.0
16781,2020-02-21,AO348832 Corp,-1885.144,1000000000,-1884144000000.0
16782,2020-02-24,AO348832 Corp,-1173.85,1000000000,-1172850000000.0
16783,2020-02-25,AO348832 Corp,-1184.189,1000000000,-1183189000000.0
